user_id,f0_
uid-1687747619122-35295,470
uid-1635637083280-76569,470
uid-1691868875652-16284,469
uid-1683988496566-46507,469
uid-1616805265883-75369,469
uid-1692287915474-10267,469
uid-1692585050377-33125,469
uid-1691517058664-87446,466
uid-1692883779483-82571,466
uid-1692909902366-16863,465
uid-1691438316644-25252,465
uid-1647549370347-68092,465
uid-1691254755082-37259,464
uid-1691035637291-99852,463
uid-1691475408850-58233,463
uid-1641884745978-44710,463
uid-1692374575264-48159,463
uid-1693022481118-60563,463
uid-1691810820012-97017,462
uid-1692289084267-11995,462
uid-1692159263826-25384,461
uid-1690648719699-98060,460
uid-1672033834987-44858,460
uid-1693012601973-31644,459
uid-1691202785082-5404,459
uid-1692576163640-9032,459
uid-1683510199717-11344,459
uid-1692198893072-91332,459
uid-1685927920481-82288,458
uid-1691375446059-67365,458
uid-1690567650535-44723,458
uid-1691456882201-81300,457
uid-1691708052571-86855,457
uid-1692400859547-74454,457
uid-1691011139354-47229,457
uid-1687205354765-93305,455
uid-1692888093539-22824,455
uid-1690480225697-34782,454
uid-1616861860260-13852,454
uid-1693125843160-90998,454
